accession	target_id	is_query_self	full_evalue	full_score	full_bias	domain_rows	reported_domain_count	best_domain_evalue	best_domain_score	query_length	target_length	query_union_aligned_residues	target_union_aligned_residues	query_coverage	target_coverage	reviewed	entry_name	protein_names	gene_names	organism	organism_id	metadata_length
C4FLE1	tr|C4FLE1|C4FLE1_9AQUI	no	2.3e-82	274.2	8.7	1	1	2.6e-82	274.0	251	254	244	246	0.9721	0.9685	unreviewed	C4FLE1_9AQUI	DUF62-containing protein	SULYE_1395	Sulfurihydrogenibium yellowstonense SS-5	432331	254
A0A285NQZ6	tr|A0A285NQZ6|A0A285NQZ6_9AQUI	no	6.6e-82	272.7	8.0	1	1	8.5e-82	272.4	251	256	246	248	0.9801	0.9688	unreviewed	A0A285NQZ6_9AQUI	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN06265182_2097	Persephonella hydrogeniphila	198703	256
C1DXI2	tr|C1DXI2|C1DXI2_SULAA	no	7.7e-74	246.3	3.6	1	1	9.4e-74	246.0	251	252	244	244	0.9721	0.9683	unreviewed	C1DXI2_SULAA	DUF62-containing protein	SULAZ_0097	Sulfurihydrogenibium azorense (strain DSM 15241 / OCM 825 / Az-Fu1)	204536	252
A0AA45WM07	tr|A0AA45WM07|A0AA45WM07_9AQUI	no	8.5e-72	239.6	6.7	1	1	1e-71	239.4	251	263	243	246	0.9681	0.9354	unreviewed	A0AA45WM07_9AQUI	Uncharacterized protein	SAMN06264868_1105	Venenivibrio stagnispumantis	407998	263
I4AL31	tr|I4AL31|I4AL31_BERLS	no	2.7e-69	231.4	0.2	1	1	3e-69	231.2	251	261	249	252	0.9920	0.9655	unreviewed	I4AL31_BERLS	S-adenosyl-l-methionine hydroxide adenosyltransferase	Fleli_2291	Bernardetia litoralis (strain ATCC 23117 / DSM 6794 / NBRC 15988 / NCIMB 1366 / Fx l1 / Sio-4) (Flexibacter litoralis)	880071	261
I4C807	tr|I4C807|I4C807_DESTA	no	1.2e-67	226.0	0.0	1	1	1.5e-67	225.7	251	257	246	251	0.9801	0.9767	unreviewed	I4C807_DESTA	S-adenosyl-l-methionine hydroxide adenosyltransferase	Desti_3034	Desulfomonile tiedjei (strain ATCC 49306 / DSM 6799 / DCB-1)	706587	257
F8ADQ2	tr|F8ADQ2|F8ADQ2_THEID	no	1.8e-66	222.2	1.0	1	1	2.2e-66	221.9	251	253	239	243	0.9522	0.9605	unreviewed	F8ADQ2_THEID	Adenosyl-chloride synthase	Thein_2162	Thermodesulfatator indicus (strain DSM 15286 / JCM 11887 / CIR29812)	667014	253
A0A7G1H3U2	tr|A0A7G1H3U2|A0A7G1H3U2_9BACT	no	1.9e-66	222.1	2.9	1	1	2.4e-66	221.8	251	263	244	250	0.9721	0.9506	unreviewed	A0A7G1H3U2_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	JZK55_13390	Dissulfurispira thermophila	2715679	263
A0A177E8Y9	tr|A0A177E8Y9|A0A177E8Y9_9BACT	no	2.7e-65	218.3	1.0	1	1	3.5e-65	217.9	251	254	240	245	0.9562	0.9646	unreviewed	A0A177E8Y9_9BACT	Adenosyl-chloride synthase	TH606_01545	Thermodesulfatator autotrophicus	1795632	254
A0A7U4QL10	tr|A0A7U4QL10|A0A7U4QL10_DESA2	no	4.7e-63	211.0	0.9	1	1	6.6e-63	210.5	251	262	245	253	0.9761	0.9656	unreviewed	A0A7U4QL10_DESA2	Protein containing DUF62	HS1_001504	Desulfofervidus auxilii	1621989	262
A0A7L4PBT0	tr|A0A7L4PBT0|A0A7L4PBT0_9CREN	no	6.6e-63	210.5	0.0	1	1	2.2e-62	208.8	251	261	249	256	0.9920	0.9808	unreviewed	A0A7L4PBT0_9CREN	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	HC235_09060	Pyrobaculum arsenaticum	121277	261
A0ABR5SIK8	tr|A0ABR5SIK8|A0ABR5SIK8_9BACT	no	1.3e-62	209.5	0.2	1	1	1.6e-62	209.2	251	265	233	235	0.9283	0.8868	unreviewed	A0ABR5SIK8_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	ASN18_0464	Candidatus Magnetominusculus xianensis	1748249	265
A0A6G7PWI5	tr|A0A6G7PWI5|A0A6G7PWI5_9BACT	no	2.6e-62	208.5	0.1	1	1	4.4e-62	207.8	251	269	226	234	0.9004	0.8699	unreviewed	A0A6G7PWI5_9BACT	SAM-dependent chlorinase/fluorinase	G4V39_06400	Thermosulfuriphilus ammonigenes	1936021	269
H6QDJ4	tr|H6QDJ4|H6QDJ4_PYROT	no	2.7e-62	208.5	0.0	1	1	7.3e-62	207.1	251	261	248	255	0.9880	0.9770	unreviewed	H6QDJ4_PYROT	S-adenosyl-l-methionine hydroxide adenosyltransferase	Pogu_2657	Pyrobaculum oguniense (strain DSM 13380 / JCM 10595 / TE7)	698757	261
A0A1B9F5Z1	tr|A0A1B9F5Z1|A0A1B9F5Z1_9BACT	no	4.3e-62	207.8	5.6	1	1	7.2e-62	207.1	251	267	245	254	0.9761	0.9513	unreviewed	A0A1B9F5Z1_9BACT	Adenosyl-chloride synthase	DBT_1348	Dissulfuribacter thermophilus	1156395	267
Q8ZSQ8	tr|Q8ZSQ8|Q8ZSQ8_PYRAE	no	1.9e-61	205.7	0.1	1	1	3.3e-61	204.9	251	259	247	254	0.9841	0.9807	unreviewed	Q8ZSQ8_PYRAE	SAM-dependent chlorinase/fluorinase	PAE3627	Pyrobaculum aerophilum (strain ATCC 51768 / DSM 7523 / JCM 9630 / CIP 104966 / NBRC 100827 / IM2)	178306	259
A3DNT1	tr|A3DNT1|A3DNT1_STAMF	no	3e-61	205.1	0.7	1	1	4.5e-61	204.5	251	273	245	259	0.9761	0.9487	unreviewed	A3DNT1_STAMF	SAM-dependent chlorinase/fluorinase	Smar_1196	Staphylothermus marinus (strain ATCC 43588 / DSM 3639 / JCM 9404 / F1)	399550	273
A0ABU3NMH7	tr|A0ABU3NMH7|A0ABU3NMH7_9CHLR	no	7.5e-61	203.8	0.0	1	1	9.8e-61	203.4	251	263	246	256	0.9801	0.9734	unreviewed	A0ABU3NMH7_9CHLR	SAM-dependent chlorinase/fluorinase	QYE77_03875	Thermanaerothrix solaris	3058434	263
A0A0P1MG55	tr|A0A0P1MG55|A0A0P1MG55_9BACT	no	1.2e-59	199.8	2.3	1	1	1.4e-59	199.6	251	259	246	249	0.9801	0.9614	unreviewed	A0A0P1MG55_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	JGI8_01886	Candidatus Kryptonium thompsonii	1633631	259
A0A286TY86	tr|A0A286TY86|A0A286TY86_9BACT	no	1.7e-59	199.3	0.4	1	1	1.4e-58	196.3	251	266	244	255	0.9721	0.9586	unreviewed	A0A286TY86_9BACT	Adenosyl-chloride synthase	SCALIN_C14_0121	Candidatus Scalindua japonica	1284222	266
A0ABQ0JYN7	tr|A0ABQ0JYN7|A0ABQ0JYN7_9BACT	no	1.9e-59	199.2	0.1	1	1	4.1e-58	194.8	251	315	185	186	0.7371	0.5905	unreviewed	A0ABQ0JYN7_9BACT	Uncharacterized conserved protein	BROSI_A2330	Candidatus Brocadia sinica JPN1	1197129	315
A0AAU8H078	tr|A0AAU8H078|A0AAU8H078_9BACT	no	4.8e-59	197.8	2.9	1	1	5.5e-59	197.6	251	260	248	247	0.9880	0.9500	unreviewed	A0AAU8H078_9BACT	SAM-dependent chlorinase/fluorinase	V4D31_07610	Thermodesulfovibrio obliviosus	3118332	260
A1RQF4	tr|A1RQF4|A1RQF4_PYRIL	no	6.3e-59	197.5	0.1	1	1	9.1e-59	196.9	251	263	247	252	0.9841	0.9582	unreviewed	A1RQF4_PYRIL	Adenosyl-chloride synthase	Pisl_0002	Pyrobaculum islandicum (strain DSM 4184 / JCM 9189 / GEO3)	384616	263
D7D9C1	tr|D7D9C1|D7D9C1_STAHD	no	9.6e-59	196.8	0.4	1	1	1.5e-58	196.2	251	274	244	258	0.9721	0.9416	unreviewed	D7D9C1_STAHD	Uncharacterized protein	Shell_1272	Staphylothermus hellenicus (strain DSM 12710 / JCM 10830 / BK20S6-10-b1 / P8)	591019	274
A0AAU8GYG8	tr|A0AAU8GYG8|A0AAU8GYG8_9BACT	no	1.3e-58	196.4	4.1	1	1	1.5e-58	196.2	251	260	248	247	0.9880	0.9500	unreviewed	A0AAU8GYG8_9BACT	SAM-dependent chlorinase/fluorinase	V4D30_09855	Thermodesulfovibrio autotrophicus	3118333	260
A0A0B6WY64	tr|A0A0B6WY64|A0A0B6WY64_9BACT	no	1.8e-58	195.9	0.0	1	1	4.2e-58	194.8	251	263	246	256	0.9801	0.9734	unreviewed	A0A0B6WY64_9BACT	Adenosyl-chloride synthase	PYK22_01672	Pyrinomonas methylaliphatogenes	454194	263
A0A0S4N3H1	tr|A0A0S4N3H1|A0A0S4N3H1_9BACT	no	3.3e-58	195.1	2.3	1	1	4e-58	194.8	251	256	246	249	0.9801	0.9727	unreviewed	A0A0S4N3H1_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	JGI1_01287	Candidatus Thermokryptus mobilis	1643428	256
A0A8A4TUX7	tr|A0A8A4TUX7|A0A8A4TUX7_SULCO	no	3.9e-58	194.8	0.0	1	1	5.6e-58	194.3	251	266	243	250	0.9681	0.9398	unreviewed	A0A8A4TUX7_SULCO	SAM-dependent chlorinase/fluorinase	J3U87_10630	Sulfidibacter corallicola	2818388	266
A0A1V6M0S5	tr|A0A1V6M0S5|A0A1V6M0S5_9BACT	no	4.8e-58	194.6	0.1	1	1	2.7e-55	185.5	251	327	186	187	0.7410	0.5719	unreviewed	A0A1V6M0S5_9BACT	Uncharacterized protein	BIY37_05640	Candidatus Brocadia sapporoensis	392547	327
A0A179D2A2	tr|A0A179D2A2|A0A179D2A2_9BACT	no	6e-58	194.2	0.8	1	1	7.3e-58	194.0	251	255	233	237	0.9283	0.9294	unreviewed	A0A179D2A2_9BACT	Adenosyl-chloride synthase	TDIS_1678	Thermosulfurimonas dismutans	999894	255
A0A5J4K3J7	tr|A0A5J4K3J7|A0A5J4K3J7_9CHLR	no	7.9e-58	193.9	0.0	1	1	1e-57	193.5	251	290	187	189	0.7450	0.6517	unreviewed	A0A5J4K3J7_9CHLR	SAM-dependent chlorinase/fluorinase	KTAU_19650	Thermogemmatispora aurantia	2045279	290
A0A656D5Z7	tr|A0A656D5Z7|A0A656D5Z7_KRYT1	no	9.5e-58	193.6	1.2	1	1	1.1e-57	193.4	251	259	246	249	0.9801	0.9614	unreviewed	A0A656D5Z7_KRYT1	S-adenosyl-l-methionine hydroxide adenosyltransferase	JGI24_00568	Kryptobacter tengchongensis	1643429	259
B5YJH2	tr|B5YJH2|B5YJH2_THEYD	no	2.4e-57	192.3	1.5	1	1	2.8e-57	192.1	251	257	242	241	0.9641	0.9377	unreviewed	B5YJH2_THEYD	Conserved Archaeal protein	THEYE_A0544	Thermodesulfovibrio yellowstonii (strain ATCC 51303 / DSM 11347 / YP87)	289376	257
A0A330L846	tr|A0A330L846|A0A330L846_9BACT	no	3.1e-57	191.9	0.0	1	1	4e-57	191.5	251	263	242	250	0.9641	0.9506	unreviewed	A0A330L846_9BACT	Adenosyl-chloride synthase	NITLEN_50135	Nitrospira lenta	1436998	263
I3TE34	tr|I3TE34|I3TE34_THEC1	no	3.3e-57	191.8	0.1	1	1	5.5e-57	191.1	251	267	185	187	0.7371	0.7004	unreviewed	I3TE34_THEC1	SAM-dependent chlorinase/fluorinase	TCELL_0597	Thermogladius calderae (strain DSM 22663 / VKM B-2946 / 1633)	1184251	267
A0A0U9HS15	tr|A0A0U9HS15|A0A0U9HS15_9BACT	no	3.7e-57	191.7	2.2	1	1	4.2e-57	191.5	251	260	248	247	0.9880	0.9500	unreviewed	A0A0U9HS15_9BACT	SAM-dependent chlorinase/fluorinase	TAGGR_393	Thermodesulfovibrio aggregans	86166	260
A0A8J3HTE7	tr|A0A8J3HTE7|A0A8J3HTE7_9CHLR	no	6.4e-57	190.9	0.0	1	1	8.6e-57	190.5	251	281	187	189	0.7450	0.6726	unreviewed	A0A8J3HTE7_9CHLR	SAM-dependent chlorinase/fluorinase	KSX_15420	Ktedonospora formicarum	2778364	281
A0A3R9RSN7	tr|A0A3R9RSN7|A0A3R9RSN7_9CREN	no	1.4e-56	189.7	0.2	1	1	1.6e-56	189.5	251	254	249	252	0.9920	0.9921	unreviewed	A0A3R9RSN7_9CREN	SAM-dependent chlorinase/fluorinase	D6D85_02015	Candidatus Methanodesulfokora washburnensis	2478471	254
D8PG69	tr|D8PG69|D8PG69_9BACT	no	1.9e-56	189.4	0.0	1	1	1.2e-55	186.7	251	263	244	256	0.9721	0.9734	unreviewed	D8PG69_9BACT	Adenosyl-chloride synthase	NIDE2547	Nitrospira defluvii	330214	263
A0A8J7U6K9	tr|A0A8J7U6K9|A0A8J7U6K9_9BACT	no	3.4e-56	188.5	0.0	1	1	5.4e-56	187.8	251	267	244	251	0.9721	0.9401	unreviewed	A0A8J7U6K9_9BACT	SAM-dependent chlorinase/fluorinase	J3U88_26395	Acanthopleuribacter pedis	442870	267
B1YDJ3	tr|B1YDJ3|B1YDJ3_PYRNV	no	3.4e-56	188.5	0.0	1	1	4.9e-56	188.0	251	258	246	250	0.9801	0.9690	unreviewed	B1YDJ3_PYRNV	Uncharacterized protein	Tneu_0919	Pyrobaculum neutrophilum (strain DSM 2338 / JCM 9278 / NBRC 100436 / V24Sta) (Thermoproteus neutrophilus)	444157	258
A0A0P6XQS4	tr|A0A0P6XQS4|A0A0P6XQS4_9CHLR	no	3.4e-56	188.5	0.0	1	1	4.1e-56	188.2	251	264	242	252	0.9641	0.9545	unreviewed	A0A0P6XQS4_9CHLR	Adenosyl-chloride synthase	SE15_12285	Thermanaerothrix daxensis	869279	264
A0A6M1S0H5	tr|A0A6M1S0H5|A0A6M1S0H5_9BACT	no	5e-56	188.0	0.0	1	1	9.3e-56	187.1	251	266	245	255	0.9761	0.9586	unreviewed	A0A6M1S0H5_9BACT	SAM-dependent chlorinase/fluorinase	G4L39_13875	Limisphaera ngatamarikiensis	1324935	266
A0A9W6D2P0	tr|A0A9W6D2P0|A0A9W6D2P0_9BACT	no	6.7e-56	187.5	0.0	1	1	3.2e-55	185.3	251	268	245	256	0.9761	0.9552	unreviewed	A0A9W6D2P0_9BACT	SAM-dependent chlorinase/fluorinase	DAMNIGENAA_05500	Desulforhabdus amnigena	40218	268
A8MDP0	tr|A8MDP0|A8MDP0_CALMQ	no	6.8e-56	187.5	0.6	1	1	1.1e-55	186.8	251	259	245	253	0.9761	0.9768	unreviewed	A8MDP0_CALMQ	Uncharacterized protein	Cmaq_1067	Caldivirga maquilingensis (strain ATCC 700844 / DSM 13496 / JCM 10307 / IC-167)	397948	259
A3MXR1	tr|A3MXR1|A3MXR1_PYRCJ	no	8.3e-56	187.2	0.0	1	1	7.1e-55	184.2	251	269	247	254	0.9841	0.9442	unreviewed	A3MXR1_PYRCJ	Adenosyl-chloride synthase	Pcal_2013	Pyrobaculum calidifontis (strain DSM 21063 / JCM 11548 / VA1)	410359	269
D7EAE6	tr|D7EAE6|D7EAE6_METEZ	no	1.7e-55	186.2	1.1	1	1	1.9e-55	186.0	251	261	245	252	0.9761	0.9655	unreviewed	D7EAE6_METEZ	Uncharacterized protein	Metev_2118	Methanohalobium evestigatum (strain ATCC BAA-1072 / DSM 3721 / NBRC 107634 / OCM 161 / Z-7303)	644295	261
A0A0M2UP27	tr|A0A0M2UP27|A0A0M2UP27_9BACT	no	2.5e-55	185.7	0.0	1	1	8.3e-53	177.4	251	311	185	186	0.7371	0.5981	unreviewed	A0A0M2UP27_9BACT	Adenosyl-chloride synthase	BROFUL_03404	Candidatus Brocadia fulgida	380242	311
A0A328VQC2	tr|A0A328VQC2|A0A328VQC2_9CHLR	no	2.7e-55	185.6	0.0	1	1	3e-55	185.4	251	262	184	186	0.7331	0.7099	unreviewed	A0A328VQC2_9CHLR	SAM-dependent chlorinase/fluorinase	A4R35_20595	Thermogemmatispora tikiterensis	1825093	262
A0ABM8RUL3	tr|A0ABM8RUL3|A0ABM8RUL3_9BACT	no	3.4e-55	185.2	0.0	1	1	2.5e-54	182.4	251	266	245	257	0.9761	0.9662	unreviewed	A0ABM8RUL3_9BACT	S-adenosyl-L-methionine hydrolase (Adenosine-forming) (EC 3.13.1.8)	NSPZN2_40353	Nitrospira defluvii	330214	266
A6LP82	tr|A6LP82|A6LP82_THEM4	no	5.3e-55	184.6	0.9	1	1	6.2e-55	184.4	251	252	246	249	0.9801	0.9881	unreviewed	A6LP82_THEM4	Adenosyl-chloride synthase	Tmel_1901	Thermosipho melanesiensis (strain DSM 12029 / CIP 104789 / BI429)	391009	252
A0A0S4LLG9	tr|A0A0S4LLG9|A0A0S4LLG9_9BACT	no	5.6e-55	184.5	0.0	1	1	1.8e-54	182.9	251	265	245	256	0.9761	0.9660	unreviewed	A0A0S4LLG9_9BACT	Adenosyl-chloride synthase	COMA1_40020	Candidatus Nitrospira nitrosa	1742972	265
A0ABT2EPE8	tr|A0ABT2EPE8|A0ABT2EPE8_9BACT	no	6.2e-55	184.4	0.0	1	1	2.2e-54	182.6	251	271	184	186	0.7331	0.6863	unreviewed	A0ABT2EPE8_9BACT	S-adenosylmethionine hydrolase	M2350_002248	Fervidibacter sacchari	1448929	271
F2L404	tr|F2L404|F2L404_THEU7	no	7.7e-55	184.1	0.5	1	1	2.7e-54	182.3	251	258	246	254	0.9801	0.9845	unreviewed	F2L404_THEU7	Adenosyl-chloride synthase	TUZN_1856	Thermoproteus uzoniensis (strain 768-20)	999630	258
A0ABM9IEC7	tr|A0ABM9IEC7|A0ABM9IEC7_9BACT	no	1.2e-54	183.4	0.1	1	1	1.6e-54	183.1	251	308	192	196	0.7649	0.6364	unreviewed	A0ABM9IEC7_9BACT	S-adenosyl-L-methionine hydrolase (Adenosine-forming) (EC 3.13.2.3)	MFUM_1720	Candidatus Methylacidiphilum fumarolicum	591154	308
A0A0C1RWP6	tr|A0A0C1RWP6|A0A0C1RWP6_9BACT	no	1.3e-54	183.4	0.1	1	1	1.5e-54	183.1	251	308	192	196	0.7649	0.6364	unreviewed	A0A0C1RWP6_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	A946_01220	Methylacidiphilum kamchatkense Kam1	1202785	308
A0A6M1T2Q5	tr|A0A6M1T2Q5|A0A6M1T2Q5_9BACT	no	1.3e-54	183.3	0.0	1	1	3.5e-54	181.9	251	266	246	254	0.9801	0.9549	unreviewed	A0A6M1T2Q5_9BACT	SAM-dependent chlorinase/fluorinase	G3569_04045	Fodinibius halophilus	1736908	266
I3XSP4	tr|I3XSP4|I3XSP4_DESAM	no	1.7e-54	182.9	0.1	1	1	4.7e-54	181.5	251	268	244	257	0.9721	0.9590	unreviewed	I3XSP4_DESAM	SAM-dependent chlorinase/fluorinase	Desfe_1096	Desulfurococcus amylolyticus DSM 16532	768672	268
A0A212QNY3	tr|A0A212QNY3|A0A212QNY3_9CHLR	no	2.4e-54	182.4	0.0	1	1	2.1e-53	179.4	251	284	184	184	0.7331	0.6479	unreviewed	A0A212QNY3_9CHLR	S-adenosyl-l-methionine hydroxide adenosyltransferase	SAMN02746019_00026780	Thermoflexus hugenholtzii JAD2	877466	284
Q0YUI0	tr|Q0YUI0|Q0YUI0_9CHLB	no	2.8e-54	182.2	0.0	1	1	4.9e-54	181.4	251	266	246	255	0.9801	0.9586	unreviewed	Q0YUI0_9CHLB	SAM-dependent chlorinase/fluorinase	CferDRAFT_2058	Chlorobium ferrooxidans DSM 13031	377431	266
E8R6Y4	tr|E8R6Y4|E8R6Y4_DESM0	no	3e-54	182.1	0.0	1	1	1.1e-53	180.3	251	278	246	262	0.9801	0.9424	unreviewed	E8R6Y4_DESM0	Chlorinase	Desmu_0098	Desulfurococcus mucosus (strain ATCC 35584 / DSM 2162 / JCM 9187 / O7/1)	765177	278
A0A2C9CB31	tr|A0A2C9CB31|A0A2C9CB31_KUEST	no	3e-54	182.1	0.0	1	1	1.6e-53	179.8	251	290	244	256	0.9721	0.8828	unreviewed	A0A2C9CB31_KUEST	Adenosyl-chloride synthase	KSMBR1_0390	Kuenenia stuttgartiensis	174633	290
A0ABM9HC93	tr|A0ABM9HC93|A0ABM9HC93_9BACT	no	3.2e-54	182.1	0.0	1	1	5.2e-54	181.4	251	262	245	253	0.9761	0.9656	unreviewed	A0ABM9HC93_9BACT	S-adenosyl-L-methionine hydrolase (Adenosine-forming) (EC 3.13.1.8)	NSPWAT_1000	Nitrospina watsonii	1323948	262
E1QS62	tr|E1QS62|E1QS62_VULDI	no	3.2e-54	182.0	0.6	1	1	1.7e-53	179.7	251	268	248	262	0.9880	0.9776	unreviewed	E1QS62_VULDI	Uncharacterized protein	Vdis_2530	Vulcanisaeta distributa (strain DSM 14429 / JCM 11212 / NBRC 100878 / IC-017)	572478	268
A0ABZ2YDC9	tr|A0ABZ2YDC9|A0ABZ2YDC9_9BACT	no	4e-54	181.7	0.2	1	1	6.9e-53	177.7	251	267	248	263	0.9880	0.9850	unreviewed	A0ABZ2YDC9_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase family protein	QBE54_03585	Thermatribacter velox	3039681	267
A1BI12	tr|A1BI12|A1BI12_CHLPD	no	4.6e-54	181.5	0.0	1	1	5.7e-54	181.2	251	280	245	255	0.9761	0.9107	unreviewed	A1BI12_CHLPD	SAM-dependent chlorinase/fluorinase	Cpha266_2027	Chlorobium phaeobacteroides (strain DSM 266 / SMG 266 / 2430)	290317	280
A0A2A8CZC5	tr|A0A2A8CZC5|A0A2A8CZC5_9BACT	no	7.6e-54	180.8	0.0	1	1	9.9e-51	170.6	251	288	184	185	0.7331	0.6424	unreviewed	A0A2A8CZC5_9BACT	SAM-dependent chlorinase/fluorinase	CRI94_07680	Longibacter salinarum	1850348	288
B1WUI5	tr|B1WUI5|B1WUI5_CROS5	no	9.7e-54	180.5	0.0	1	1	1.2e-53	180.1	251	270	246	253	0.9801	0.9370	unreviewed	B1WUI5_CROS5	DUF62-containing protein	cce_4491	Crocosphaera subtropica (strain ATCC 51142 / BH68) (Cyanothece sp. (strain ATCC 51142))	43989	270
G7VAJ8	tr|G7VAJ8|G7VAJ8_9CREN	no	1e-53	180.4	0.0	1	1	2.9e-53	178.9	251	259	247	254	0.9841	0.9807	unreviewed	G7VAJ8_9CREN	Uncharacterized protein	P186_0791	Pyrobaculum ferrireducens	1104324	259
A0A3N6N662	tr|A0A3N6N662|A0A3N6N662_9CYAN	no	1.3e-53	180.1	0.0	1	1	2e-53	179.4	251	271	246	262	0.9801	0.9668	unreviewed	A0A3N6N662_9CYAN	SAM-dependent chlorinase/fluorinase	D5R40_17475	Okeania hirsuta	1458930	271
B7KKT6	tr|B7KKT6|B7KKT6_GLOC7	no	1.5e-53	179.8	0.0	1	1	1.8e-53	179.6	251	261	245	252	0.9761	0.9655	unreviewed	B7KKT6_GLOC7	SAM-dependent chlorinase/fluorinase	PCC7424_2641	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	65393	261
A0A0K2GGF8	tr|A0A0K2GGF8|A0A0K2GGF8_NITMO	no	1.9e-53	179.5	0.0	1	1	5.2e-53	178.1	251	266	243	253	0.9681	0.9511	unreviewed	A0A0K2GGF8_NITMO	Adenosyl-chloride synthase	NITMOv2_3319	Nitrospira moscoviensis	42253	266
A0ABS9K8B9	tr|A0ABS9K8B9|A0ABS9K8B9_9BACT	no	2.1e-53	179.3	0.1	1	1	4.3e-53	178.3	251	262	246	254	0.9801	0.9695	unreviewed	A0ABS9K8B9_9BACT	SAM-dependent chlorinase/fluorinase	L6773_00835	Rhodohalobacter sulfatireducens	2911366	262
A0A521ED84	tr|A0A521ED84|A0A521ED84_9BACT	no	2.8e-53	179.0	0.0	1	1	8.2e-53	177.4	251	262	245	253	0.9761	0.9656	unreviewed	A0A521ED84_9BACT	SAM-dependent chlorinase/fluorinase	SAMN06265218_11546	Fodinibius sediminis	1214077	262
A0A2U3QH50	tr|A0A2U3QH50|A0A2U3QH50_9BACT	no	3.6e-53	178.6	0.5	1	1	5.1e-53	178.1	251	269	245	258	0.9761	0.9591	unreviewed	A0A2U3QH50_9BACT	S-adenosyl-l-methionine hydroxide adenosyltransferase	NBG4_300025	Candidatus Sulfobium mesophilum	2016548	269
